name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,serialid
"""GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)""",USA,NOAA (National Oceanographic and Atmospheric Administration),Government,Earth Science/Meteorology,GEO,"",-89.43,"""35,786""","""35,788""",2.37E-05,0.42,1436.14,"""3,175""","""2,180""","",2010-03-04,10 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2010-008A,36411,"",356
Gonets D1-1 ,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,0,"""1,400""","""1,413""",8.36E-04,82.5,113.92,225,"",40,1996-02-18,"",NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,1996-009A,23787,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,357
Gonets D1-2,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,0,"""1,407""","""1,413""",3.86E-04,82.5,114,225,"",40,1996-02-18,"",NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,1996-009B,23788,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,358
Gonets D1-3 ,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,0,"""1,409""","""1,416""",4.50E-04,82.5,114.05,225,"",40,1996-02-18,"",NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,1996-009C,23789,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,359
Gonets D1-4 ,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,0,"""1,412""","""1,429""",1.09E-03,82.6,114.23,225,"",40,1997-02-14,"",NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,1997-006A,24728,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,360
Gonets D1-5 ,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,0,"""1,412""","""1,423""",7.06E-04,82.6,114.16,225,"",40,1997-02-14,"",NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,1997-006B,24729,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,361
"""GOES 3 (Geostationary Operational Environmental Satellite, GOES-C)""",USA,"""University of Miami, Rosenstiel School of Marine and Atmospheric Science (RSMAS) (loaned by NOAA)""",Civil,Communications,GEO,"",-101.44,"""35,772""","""35,800""",3.32E-04,14.3,1436.08,627,"","",1978-06-16,7 yrs.,Hughes Aircraft,USA,Cape Canaveral,Delta 2914,1978-062A,10953,Still supplying communications at South Pole; equipment scheduled to be removed in 2006.,362
Gonets D1-6 ,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,0,"""1,412""","""1,415""",1.93E-04,82.6,114.07,225,"",40,1997-02-14,"",NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,1997-006C,24730,Commercial version of Strela (GRU) military system; store and forward communications satellites; will operate until 2004 or 2005; not a successful commercial venture.,363
Gonets D1-7,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,0,"""1,411""","""1,418""",4.50E-04,82.5,114.1,225,"",40,2001-12-28,"",NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,2001-058D,27058,"""Civilian reconnaissance/communications spacecraft to locate and report natural and man-made environmental disasters; relay messages, same as earlier six Gonets.""",364
Gonets D1-9,Russia,Smolensk Satellite (SmolSat),Commercial,Communications,LEO,Intermediate,0,"""1,404""","""1,417""",8.35E-04,82.5,114.01,225,"",40,2001-12-28,"",NPO PM,Russia,Plesetsk Cosmodrome,Tsyklon 3,2001-058F,27060,"""Civilian reconnaissance/communications spacecraft to locate and report natural and man-made environmental disasters; relay messages, same as earlier six Gonets.""",365
Gonets M-5,Russia,Gonets Satcom,Commercial,Communications,LEO,Intermediate,0,"""1,497""","""1,507""",6.35E-04,82.4,116.03,280,"",40,2010-09-08,5 yrs.,OAO-ISS,Russia,Plesetsk Cosmodrome,Rokot,2010-043B,37153,"""Civilian version of military Strela 3 store-dump communications satellite; fleet will have 36 craft, with six craft per orbital plane.""",366
"""Grace 1 (Gravity Recovery and Climate Experiment, """"Tom and Jerry"""")""",Germany/USA,"""GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas""",Civil,Earth Science,LEO,Polar,0,482,506,1.75E-03,89,94.49,480,445,150,2002-03-17,5 yrs.,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,Germany/USA,Plesetsk Cosmodrome,Rokot,2002-012A,27391,"""Map gravitational mini-variations caused by sea-level changes, glaciers and melting/freezing of ice sheets by measuring distance between satellites.""",367
"""Grace 2 (Gravity Recovery and Climate Experiment, """"Tom and Jerry"""")""",Germany/USA,"""GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas""",Civil,Earth Science,LEO,Polar,0,482,507,1.82E-03,89,94.5,480,445,150,2002-03-17,5 yrs.,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,Germany/USA,Plesetsk Cosmodrome,Rokot,2002-012B,27392,"""Map gravitational mini-variations caused by sea-level changes, glaciers and melting/freezing of ice sheets by measuring distance between satellites.""",368
"""Greenhouse Gases Observing Satellite (Ibuki, GoSAT)""",Japan,Japan Aerospace Exploration Agency (JAXA),Civil,Earth Science,LEO,Sun-Synchronous,0,668,670,1.42E-04,98.05,98.12,"""1,750""","","""3,800""",2009-01-23,5 yrs.,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2009-002A,33492,Observe the concentration and distribution of greenhouse gases across most of the Earth's surface.,369
ORBCOMM FM-19 (ORBCOMM B7),USA,ORBCOMM Inc.,Commercial,Communications,LEO,Intermediate,0,814,824,6.96E-04,45,101.27,45,22,160,1998-08-02,5 yrs.,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046C,25415,"",370
GSAT-12,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,"",82.94,"""35,761""","""35,811""",5.93E-04,0.09,1436.1,"""1,410""",559,"""1,430""",2011-07-15,8 yrs.,Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,PSLV C17,2011-034A,37746,C-band expansion at this location. Designed for quick turn-around deployment.,371
GSAT-2,India,Indian Space Reseaerch Organization (ISRO),Government,Communications/Technology Development,GEO,"",48.04,"""35,776""","""35,796""",2.37E-04,0.04,1436.07,"""1,825""","","",2003-05-08,3-5 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,GSLV D2,2003-018A,27807,"""4 C-band, 2 Ku-band; mobile satellite service.""",372
GSAT-8,India,Indian Space Research Organization (ISRO),Government,Communications/Navigation,GEO,"",55,"""35,782""","""35,796""",1.66E-04,0.09,1436.23,"""3,093""","""1,426""","""6,250""",2011-05-20,12 yrs.,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2011-022A,37602,Direct-to-home broadcast  and other domestic needs. Equipped with GAGAN (GPS Aided GEO Augmented Navigation).,373
"""Haiyang 1B (HY 1B, Ocean 1B)""",China (PR),State Oceanic Administration (SOA),Government,Meteorology,LEO,"",0,783,813,2.09E-03,98.6,100.84,500,"",450,2007-04-11,3 yrs.,Dongfanghong Satellite Corporation Ltd.,China (PR),Taiyuan Launch Center,Long March 2C,2007-010A,31113,Ocean-imaging surveillance satellite.,374
Haiyang 2A (HY 2A),China (PR),State Oceanic Administration (SOA),Government,Meteorology,LEO,"",0,928,943,1.03E-03,99.4,103.6,"""1,500""","","",2011-08-15,3 yrs.,China Academy of Space Technology (CAST),China (PR),Taiyuan Launch Center,Long March 4B,2011-043A,37781,Ocean-imaging surveillance satellite.,375
HAMSat (VUSat Oscar 52),India,Indian Space Research Organization (ISRO),Government/Civil,Communications,LEO,Sun-Synchronous,0,618,646,2.00E-03,97.2,97.2,43,42,"",2005-05-05,"",Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C6,2005-017B,28650,Microsatellite; India's contribution to amateur radio UHF and VHF for Southeast Asia.,376
Hawksat-1,USA,Hawk Institute for Space Science,Civil,Technology Development,LEO,"",0,427,467,2.93E-03,40.47,93.52,1,"","",2009-05-19,"",Hawk Institute for Space Sciences/Pumpkin,USA,Wallops Island Flight Facility,Minotaur 1,2009-028D,35004,Technology development.,377
Helios 1A ,France/Italy/Spain,Centre National d'Etudes Spatiales (CNES)/D_l_gation G_n_rale de l'Armement (DGA),Military,Reconnaissance,LEO,Sun-Synchronous,0,679,681,1.42E-04,98,98.35,"""2,494""","""1,210""","""2,200""",1995-07-07,5 yrs.,Matra Marconi Space/CNES (Astrium),France,Guiana Space Center,Ariane 5,1995-033A,23605,Optical reconnaissance; cannot see through clouds or at night.,378
Helios 2A ,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/D_l_gation G_n_rale de l'Armement (DGA),Military,Reconnaissance,LEO,Sun-Synchronous,0,681,683,1.42E-04,98.1,98,"""4,200""","""1,500-1,900""","""2,900""",2004-12-18,5 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049A,28492,Optical reconnaissance; independent military intelligence capability for the EU (France has financed 90% of the B series).,379
Helios 2B,France/Italy/Belgium/Spain/Greece,Centre National d'Etudes Spatiales (CNES)/D_l_gation G_n_rale de l'Armement (DGA),Military,Reconnaissance,LEO,Sun-Synchronous,0,679,682,2.13E-04,98.1,98.37,"""4,200""","""1,500-1,900""","""2,900""",2009-12-18,5 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-073A,36124,"""Optical reconnaissance, independent military intelligence capability for the EU (France has financed 90% of the B series).""",380
"""HellasSat 2 (Intelsat K-TV, NSS K-TV)""",Greece,Hellas-Sat Consortium Ltd.,Commercial,Communications,GEO,"",39.06,"""35,769""","""35,803""",4.03E-04,0.01,1436.08,"""3,300""","","""7,600""",2003-05-12,15 yrs.,Astrium,"""France, UK, Germany""",Cape Canaveral,Atlas 5,2003-020A,27811,30 Ku-band; television broadcasting services for the 2004 Summer Olympic Games in Athens.,381
"""HESSI (RHESSI, Reuven Ramaty High Energy Solar Spectroscopic Imager)""",USA,"""Space Sciences Laboratory, UC Berkeley/NASA""",Government/Civil,Astrophysics,LEO,Intermediate,0,588,609,1.51E-03,38,96.65,293,"",414,2002-02-05,3 yrs.,"""Spectrum Astro, Inc.""",USA,Cape Canaveral,Pegasus,2002-004A,27370,Explore basic physics of particle acceleration and explosive energy release in solar flares.,382
Hinode (Solar B),Multinational,Institute of Space and Aeronautical Science/NASA,Government,Solar Physics,LEO,"",0,674,695,1.49E-03,98.09,98.45,700,530,"""1,000""",2006-10-22,3 yrs.,"""Institute of Space and Aeronautical Science, University of Tokyo/NASA""",Japan/USA/UK/Germany,Uchinoura Space Center,JAXA M-V,2006-041A,29479,Solar observatory; telescope built by Smithsonian Observatory.,383
Hispasat 1C ,Spain,Hispasat,Commercial/Gov/Mil,Communications,GEO,"",-29.93,"""35,764""","""35,808""",5.22E-04,0.03,1436.08,"""3,112""","""1,304""","""6,000""",2000-02-04,15 yrs.,Alcatel Space Industries,France,Cape Canaveral,Atlas 2AS,2000-007A,26071,"""Third of Spain's communications satellites with government, commercial and military application; X-band heavily used; 24 transponders in Ku-band.""",384
Hispasat 1D ,Spain,Hispasat,Commercial/Gov/Mil,Communications,GEO,"",-29.95,"""35,764""","""35,809""",5.34E-04,0.02,1436.11,"""3,288""","""1,382""","""6,200""",2002-09-18,15 yrs.,Aerospatiale (Alcatel Space Industries),France,Cape Canaveral,Atlas 2AS,2002-044A,27528,"""Fourth of Spain's communications satellites with government, commercial and military application; X-band heavily used; 28 Ku-band transponders.""",385
Hispasat 1E,Spain,Hispasat,Commercial,Communications,GEO,"",-30,"""35,782""","""35,786""",4.74E-05,0.07,1435.95,"""5,320""","""2,175""","""14,000""",2010-12-29,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2010-070A,37264,63 Ku-band transponders and a Ka-band capability.,386
HJ-1A (Huan Jing 1A),China (PR),National Remote Sensing Center (NRSCC),Government,Remote Sensing,LEO,Polar,0,625,661,2.57E-03,98.1,97.58,470,"","",2008-09-05,3 yrs.,Chinese Academy of Space Technology (CAST)/DFH Satellite,China (PR),Taiyuan Launch Center,Long March 2C,2008-041A,33320,Monitors environment and natural disasters.,387
HJ-1B (Huan Jing 1B),China (PR),National Remote Sensing Center (NRSCC),Government,Remote Sensing,LEO,Polar,0,629,669,2.85E-03,98.1,97.71,470,"","",2008-09-05,3 yrs.,Chinese Academy of Space Technology (CAST)/DFH Satellite,China (PR),Taiyuan Launch Center,Long March 2C,2008-041B,33321,Monitors environment and natural disasters.,388
Horizons 2,USA/Japan,"""Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)""",Commercial,Communications,GEO,"",85,"""35,777""","""35,796""",2.25E-04,0,1436.1,"""2,300""","","""4,700""",2007-12-21,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2007-063B,32388,"""Joint venture between Intelsat and JSAT; 20 Ku-band transponders, services to the US, Canada and Japan.""",389
Hot Bird 10 (Atlantic Bird 4A),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,"",-0.07,"""35,766""","""35,806""",4.74E-04,0.06,1436.07,"""4,892""","""2,240""","""11,000""",2009-02-11,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008B,33750,64 Ku-band transponders.,390
Hot Bird 6 ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,"",13.06,"""35,756""","""35,815""",7.00E-04,0.09,1436.06,"""3,800""","""1,900""","""9,000""",2002-08-28,12 yrs.,Alcatel Space Industries,France,Cape Canaveral,Atlas 5,2002-038A,27499,"""Cable programming; direct-to-home broadcasting; 28 Ku-band, 4 Ka-band transponders""",391
Hot Bird 8,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,"",13.08,"""35,759""","""35,812""",6.29E-04,0.02,1436.06,"""4,900""","","""14,000""",2006-08-04,15 yrs.,EADS Space,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton/Breeze M,2006-032A,29270,64 Ku-band transponders.,392
Hot Bird 9,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,"",0.99,"""35,786""","""35,787""",1.19E-05,0.06,1436.09,"""4,880""","""2,338""","""14,500""",2008-12-20,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065A,33459,64 Ku-band transponders.,393
"""Hubble Space Telescope (HST, Space Telescope)""",ESA/USA,European Space Agency/NASA,Government,Astrophysics/Planetary Science,LEO,Intermediate,0,611,620,6.44E-04,28.4,97.01,"""11,110""","","""2,400""",1990-04-25,10 yrs.,European Space Agency/NASA,International,Cape Canaveral,Space Shuttle (STS 31),1990-037B,20580,Exploration of space.,394
HYLAS 1 (Highly Adaptable Satellite),UK,"""Avanti Communications, PLC""",Commercial,Communications,GEO,"",-33.5,"""35,770""","""35,803""",3.91E-04,0.01,1436.07,"""2,242""","","",2010-11-26,15 yrs.,EADS Astrium,France,Guiana Space Center,Ariane 5,2010-065A,37237,Stated goal of providing broadband internet access to people in the areas hardest to reach by terrestrial connectivity means,395
ICO G1,USA,ICO Global Communications Ltd.,Commercial,Communications,GEO,"",-92.92,"""35,773""","""35,799""",3.08E-04,5.73,1436.1,"""6,600""","","""16,000""",2008-04-14,15 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 5,2008-016A,32763,"""CONUS, Puerto Rico, Virgin Islands.""",396
ICO-F2 ,United Kingdom,ICO Global Communications Ltd.,Commercial,Communications,MEO,"",0,"""10,372""","""10,401""",8.65E-04,44.9,360.05,"""2,750""","""2,200-2,400""","""8,700""",2001-06-19,12 yrs.,Hughes Space and Communications,USA,Cape Canaveral,Atlas 2AS,2001-026A,26857,Planned 10-satellite fleet. Currently being used for data gathering by U.S. government agency. In 2007 signed MOU with ITU and Commonwealth Business Council giving free access to satellite for non-commerical purposes.,397
IGS-1A (Information Gathering Satellite 1A),Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,0,485,491,4.37E-04,97.3,94.36,850,"","",2003-03-28,5 yrs.,Mitsubishi,Japan,Tanegashima Space Center,H2A,2003-009A,27698,Japan's first military optical reconnaissance satellites; primary mission the monitoring of N. Korea. Launch failure in 11/03 of second half of system cripples it to a large degree.,398
IGS-3A (Information Gathering Satellite 3A),Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,0,484,492,5.83E-04,97.3,94.37,850,"","",2006-09-11,5 yrs.,Mitsubishi,Japan,Tanegashima Space Center,H2A,2006-037A,29393,Optical reconnaissance.,399
"""IGS-5A (Information Gathering Satellite 5A, IGS Optical 3)""",Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,0,484,492,5.83E-04,97.31,94.37,"""1,600""","","",2009-11-28,5 yrs.,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2009-066A,36104,Optical reconnaissance.,400
"""IGS-6A (Information Gathering Satellite 6A, IGS Optical 4)""",Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,0,588,591,2.16E-04,97.69,96.47,"""1,600""","","",2011-09-23,5 yrs.,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2011-050A,37813,Radar reconnaissance.,401
"""IGS-7A (Information Gathering Satellite 7A, IGS Radar 3)""",Japan,Cabinet Satellite Intelligence Center (CSIC),Government,Reconnaissance,LEO,Sun-Synchronous,0,"","",0.00E+00,"","","""1,600""","","",2011-12-12,5 yrs.,Mitsubishi/Toshiba,Japan,Tanegashima Space Center,H2A,2011-075A,37954,Radar reconnaissance.,402
Ikonos-2 ,USA,GeoEye,Commercial,Remote Sensing,LEO,Sun-Synchronous,0,677,682,3.55E-04,98.1,98.34,726,"","",1999-09-24,7 yrs.,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Athena 2,1999-051A,25919,Black and white imaging with1 meter resolution; same geography every three days; 1-meter panchromatic and 4-meter multispectral.,403
"""IMS 1 (Indian Mini-Satellite, TWSat)""",India,Indian Space Research Organization (ISRO),Government,Remote Sensing,LEO,Sun-Synchronous,0,624,635,7.86E-04,98.02,97.3,83,"",220,2008-04-28,"",Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,PSLV C9,2008-021D,32786,Carries a multispectral imager.,404
INMARSAT 2 F2 ,United Kingdom,"""INMARSAT, Ltd.""",Commercial,Communications,GEO,"",-98.14,"""35,770""","""35,802""",3.80E-04,5.47,1436.09,"""1,382""",690 (BOL),"""1,200""",1991-03-08,10 yrs.,Matra Marconi Space,France,Cape Canaveral,Delta,1991-018A,21149,"""Leased traffic; broadcasting, business services, mobile communciations; spare satellite co-located with Inmarsat 3s.""",405
INMARSAT 2 F4 ,United Kingdom,"""INMARSAT, Ltd.""",Commercial,Communications,GEO,"",-108.91,"""35,779""","""35,796""",2.02E-04,4.12,1436.17,"""1,382""",690,"""1,200""",1992-04-15,10 yrs.,Matra Marconi Space,France,Guiana Space Center,Ariane 44L,1992-021B,21940,"""Broadcasting, business services, mobile communications; leased traffic;  spare satellite co-located with Inmarsat 3s.""",406
INMARSAT 3 F1 ,United Kingdom,"""INMARSAT, Ltd.""",Commercial,Communications,GEO,"",64.56,"""35,764""","""35,808""",5.22E-04,0.08,1436.08,"""2,064""",860,"",1996-04-03,13 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-020A,23839,"""Broadcasting, business services, mobile communications; leased traffic; demand-assigned L-band transponders; Indian Ocean region.""",407
INMARSAT 3 F2 ,United Kingdom,"""INMARSAT, Ltd.""",Commercial,Communications,GEO,"",-15.52,"""35,763""","""35,809""",5.46E-04,0.08,1436.1,"""2,070""",860,"",1996-09-06,13 yrs.,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton,1996-053A,24307,"""Broadcasting, business services, mobile communications; demand assigned L-band transponders; Atlantic Ocean region.""",408
INMARSAT 3 F3 ,United Kingdom,"""INMARSAT, Ltd.""",Commercial,Communications,GEO,"",178.2,"""35,761""","""35,810""",5.81E-04,0.09,1436.07,"""2,074""",860,"",1996-12-18,13 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas,1996-070A,24674,"""Broadcasting, business services, mobile communications; demand assigned L-band transponders; Pacific Ocean region.""",409
INMARSAT 3 F4 ,United Kingdom,"""INMARSAT, Ltd.""",Commercial,Communications,GEO,"",-125.39,"""35,609""","""35,642""",3.93E-04,0.06,1427.91,"""2,066""",860,"",1997-06-03,13 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-027A,24819,"""Broadcasting, business services, mobile communications; demand assigned L-band transponders; Atlantic Ocean region-West.""",410
